A,B,C,D
A_50,B_50,C_20,D_5
A_108,B_48,C_18,D_3
A_38,B_38,C_8,D_8
A_52,B_52,C_22,D_7
A_58,B_58,C_28,D_13
A_64,B_4,C_4,D_4
A_59,B_59,C_29,D_14
A_10,B_10,C_10,D_10
A_26,B_26,C_26,D_11
A_115,B_55,C_25,D_10
A_66,B_6,C_6,D_6
A_77,B_17,C_17,D_2
A_64,B_4,C_4,D_4
A_47,B_47,C_17,D_2
A_3,B_3,C_3,D_3
A_4,B_4,C_4,D_4
A_119,B_59,C_29,D_14
A_59,B_59,C_29,D_14
A_13,B_13,C_13,D_13
A_22,B_22,C_22,D_7
A_46,B_46,C_16,D_1
A_100,B_40,C_10,D_10
A_35,B_35,C_5,D_5
A_0,B_0,C_0,D_0
A_66,B_6,C_6,D_6
A_21,B_21,C_21,D_6
A_71,B_11,C_11,D_11
A_116,B_56,C_26,D_11
A_80,B_20,C_20,D_5
A_43,B_43,C_13,D_13
A_43,B_43,C_13,D_13
A_19,B_19,C_19,D_4
A_89,B_29,C_29,D_14
A_45,B_45,C_15,D_0
A_34,B_34,C_4,D_4
A_28,B_28,C_28,D_13
A_1,B_1,C_1,D_1
A_42,B_42,C_12,D_12
A_27,B_27,C_27,D_12
A_20,B_20,C_20,D_5
A_4,B_4,C_4,D_4
A_24,B_24,C_24,D_9
A_66,B_6,C_6,D_6
A_117,B_57,C_27,D_12
A_15,B_15,C_15,D_0
A_76,B_16,C_16,D_1
A_74,B_14,C_14,D_14
A_29,B_29,C_29,D_14
A_18,B_18,C_18,D_3
A_33,B_33,C_3,D_3
A_48,B_48,C_18,D_3
A_40,B_40,C_10,D_10
A_32,B_32,C_2,D_2
A_71,B_11,C_11,D_11
A_49,B_49,C_19,D_4
A_70,B_10,C_10,D_10
A_33,B_33,C_3,D_3
A_47,B_47,C_17,D_2
A_35,B_35,C_5,D_5
A_80,B_20,C_20,D_5
A_21,B_21,C_21,D_6
A_111,B_51,C_21,D_6
A_99,B_39,C_9,D_9
A_1,B_1,C_1,D_1
A_104,B_44,C_14,D_14
A_68,B_8,C_8,D_8
A_4,B_4,C_4,D_4
A_49,B_49,C_19,D_4
A_18,B_18,C_18,D_3
A_116,B_56,C_26,D_11
A_16,B_16,C_16,D_1
A_0,B_0,C_0,D_0
A_108,B_48,C_18,D_3
A_77,B_17,C_17,D_2
A_119,B_59,C_29,D_14
A_57,B_57,C_27,D_12
A_46,B_46,C_16,D_1
A_119,B_59,C_29,D_14
A_62,B_2,C_2,D_2
A_64,B_4,C_4,D_4
A_29,B_29,C_29,D_14
A_70,B_10,C_10,D_10
A_75,B_15,C_15,D_0
A_85,B_25,C_25,D_10
A_92,B_32,C_2,D_2
A_54,B_54,C_24,D_9
A_42,B_42,C_12,D_12
A_5,B_5,C_5,D_5
A_30,B_30,C_0,D_0
A_114,B_54,C_24,D_9
A_75,B_15,C_15,D_0
A_101,B_41,C_11,D_11
A_32,B_32,C_2,D_2
A_108,B_48,C_18,D_3
A_110,B_50,C_20,D_5
A_57,B_57,C_27,D_12
A_12,B_12,C_12,D_12
A_58,B_58,C_28,D_13
A_16,B_16,C_16,D_1
A_66,B_6,C_6,D_6
A_67,B_7,C_7,D_7
A_7,B_7,C_7,D_7
A_38,B_38,C_8,D_8
A_105,B_45,C_15,D_0
A_36,B_36,C_6,D_6
A_30,B_30,C_0,D_0
A_20,B_20,C_20,D_5
A_13,B_13,C_13,D_13
A_87,B_27,C_27,D_12
A_110,B_50,C_20,D_5
A_54,B_54,C_24,D_9
A_28,B_28,C_28,D_13
A_69,B_9,C_9,D_9
A_115,B_55,C_25,D_10
A_51,B_51,C_21,D_6
A_68,B_8,C_8,D_8
A_113,B_53,C_23,D_8
A_56,B_56,C_26,D_11
A_27,B_27,C_27,D_12
A_110,B_50,C_20,D_5
A_65,B_5,C_5,D_5
A_55,B_55,C_25,D_10
A_94,B_34,C_4,D_4
A_0,B_0,C_0,D_0
A_86,B_26,C_26,D_11
A_38,B_38,C_8,D_8
A_49,B_49,C_19,D_4
A_68,B_8,C_8,D_8
A_3,B_3,C_3,D_3
A_116,B_56,C_26,D_11
A_63,B_3,C_3,D_3
A_70,B_10,C_10,D_10
A_23,B_23,C_23,D_8
A_93,B_33,C_3,D_3
A_53,B_53,C_23,D_8
A_40,B_40,C_10,D_10
A_25,B_25,C_25,D_10
A_25,B_25,C_25,D_10
A_83,B_23,C_23,D_8
A_9,B_9,C_9,D_9
A_45,B_45,C_15,D_0
A_82,B_22,C_22,D_7
A_69,B_9,C_9,D_9
A_90,B_30,C_0,D_0
A_65,B_5,C_5,D_5
A_64,B_4,C_4,D_4
A_0,B_0,C_0,D_0
A_95,B_35,C_5,D_5
A_116,B_56,C_26,D_11
A_43,B_43,C_13,D_13
A_112,B_52,C_22,D_7
A_113,B_53,C_23,D_8
A_65,B_5,C_5,D_5
A_15,B_15,C_15,D_0
A_101,B_41,C_11,D_11
A_12,B_12,C_12,D_12
A_60,B_0,C_0,D_0
A_21,B_21,C_21,D_6
